rank,word,count,fraction
340,icon,426,0.0003783673360630257
341,vertical,426,0.0003783673360630257
342,action,424,0.0003765909635932462
343,initially,421,0.00037392640488857705
344,elements,421,0.00037392640488857705
345,layout,420,0.0003730382186536873
346,sitting,416,0.0003694854737141284
347,all,414,0.0003677091012443489
348,bosses,411,0.0003650445425396797
349,continuing,410,0.00036415635630479
350,steady,410,0.00036415635630479
351,list,410,0.00036415635630479
352,boxes,410,0.00036415635630479
353,corners,407,0.0003614917976001208
354,vest,406,0.00036060361136523104
355,foam,405,0.00035971542513034134
356,surrounding,404,0.0003588272388954516
357,labeled,402,0.0003570508664256721
358,directly,402,0.0003570508664256721
359,computer,401,0.0003561626801907824
360,colorful,400,0.00035527449395589267
361,raised,398,0.0003534981214861132
362,medium,395,0.000350833562781444
363,finally,394,0.0003499453765465543
364,motion,392,0.00034816900407677484
365,pink,392,0.00034816900407677484
366,like,392,0.00034816900407677484
367,nptel,392,0.00034816900407677484
368,accompanied,391,0.0003472808178418851
369,conversation,390,0.00034639263160699533
370,through,387,0.00034372807290232617
371,second,386,0.0003428398866674364
372,piece,385,0.0003419517004325467
373,floral,384,0.00034106351419765696
374,line,382,0.0003392871417278775
375,hoodie,378,0.0003357343967883186
376,look,376,0.00033395802431853913
377,participants,374,0.00033218165184875967
378,tan,371,0.00032951709314409046
379,traditional,368,0.00032685253443942125
380,vehicle,368,0.00032685253443942125
381,website,366,0.0003250761619696418
382,overlaid,365,0.0003241879757347521
383,within,364,0.00032329978949986233
384,also,363,0.0003224116032649726
385,name,362,0.0003215234170300829
386,others,361,0.0003206352307951931
387,shown,359,0.00031885885832541366
388,joy,358,0.00031797067209052396
389,orca,357,0.0003170824858556342
390,shit,357,0.0003170824858556342
391,legible,357,0.0003170824858556342
392,object,356,0.0003161942996207445
393,call,355,0.00031530611338585475
394,someone,353,0.0003135297409160753
395,never,351,0.00031175336844629583
396,palm,349,0.0003099769959765164
397,bar,349,0.0003099769959765164
398,standing,349,0.0003099769959765164
399,long,347,0.00030820062350673687
400,number,346,0.00030731243727184716
401,composition,342,0.00030375969233228825
402,resting,342,0.00030375969233228825
403,blazer,341,0.0003028715060973985
404,reading,340,0.0003019833198625088
405,stage,339,0.00030109513362761904
406,upward,337,0.0002993187611578396
407,closer,335,0.0002975423886880601
408,repeated,333,0.00029576601621828067
409,visual,331,0.0002939896437485012
410,talking,331,0.0002939896437485012
411,learning,330,0.00029310145751361145
412,followed,330,0.00029310145751361145
413,blurred,329,0.0002922132712787217
414,offcamera,327,0.00029043689880894224
415,display,326,0.00028954871257405254
416,you,326,0.00028954871257405254
417,headset,324,0.0002877723401042731
418,third,322,0.0002859959676344936
419,panels,322,0.0002859959676344936
420,different,319,0.0002833314089298244
421,show,318,0.00028244322269493466
422,but,317,0.00028155503646004495
423,content,317,0.00028155503646004495
424,food,316,0.0002806668502251552
425,captures,316,0.0002806668502251552
426,closing,316,0.0002806668502251552
427,icons,314,0.00027889047775537574
428,central,314,0.00027889047775537574
429,lee,311,0.00027622591905070653
430,data,308,0.00027356136034603737
431,feed,306,0.0002717849878762579
432,opens,304,0.00027000861540647846
433,monitor,304,0.00027000861540647846
434,system,302,0.00026823224293669895
435,menu,300,0.0002664558704669195
436,कुमार,300,0.0002664558704669195
437,phrase,299,0.0002655676842320298
438,diagram,299,0.0002655676842320298
439,case,296,0.0002629031255273606
440,downward,295,0.00026201493929247087
441,mat,294,0.0002611267530575811
442,arms,293,0.00026023856682269136
443,football,291,0.0002584621943529119
444,eventually,291,0.0002584621943529119
445,remaining,291,0.0002584621943529119
446,chain,290,0.0002575740081180222
447,written,290,0.0002575740081180222
448,metal,289,0.00025668582188313245
449,being,289,0.00025668582188313245
450,unique,289,0.00025668582188313245
451,raises,288,0.00025579763564824275
452,time,288,0.00025579763564824275
453,during,287,0.000254909449413353
454,hall,285,0.00025313307694357353
455,three,285,0.00025313307694357353
456,1,284,0.0002522448907086838
457,section,283,0.0002513567044737941
458,speech,282,0.0002504685182389043
459,inside,282,0.0002504685182389043
460,water,281,0.0002495803320040146
461,labels,280,0.00024869214576912486
462,lowerleft,280,0.00024869214576912486
463,uniforms,279,0.00024780395953423516
464,further,279,0.00024780395953423516
465,sky,279,0.00024780395953423516
466,decorative,279,0.00024780395953423516
467,neckline,277,0.00024602758706445565
468,ion,276,0.00024513940082956595
469,lettering,276,0.00024513940082956595
470,font,276,0.00024513940082956595
471,check,274,0.0002433630283597865
472,speaker,274,0.0002433630283597865
473,stating,274,0.0002433630283597865
474,perspective,274,0.0002433630283597865
475,high,273,0.00024247484212489674
476,overlays,273,0.00024247484212489674
477,page,273,0.00024247484212489674
478,navy,272,0.000241586655890007
479,sides,272,0.000241586655890007
480,portion,271,0.00024069846965511728
481,together,270,0.00023981028342022755
482,hold,269,0.00023892209718533782
483,place,266,0.00023625753848066864
484,button,266,0.00023625753848066864
485,set,265,0.0002353693522457789
486,tabs,265,0.0002353693522457789
487,mug,264,0.00023448116601088915
488,smiling,264,0.00023448116601088915
489,pattern,262,0.0002327047935411097
490,photos,262,0.0002327047935411097
491,horizontal,261,0.00023181660730621997
492,fingers,260,0.00023092842107133024
493,captured,258,0.00022915204860155078
494,broadcast,257,0.00022826386236666105
495,tilts,252,0.00022382293119221238
496,नीतीश,252,0.00022382293119221238
497,multiple,251,0.00022293474495732265
498,uses,250,0.00022204655872243292
499,pants,250,0.00022204655872243292
500,solid,249,0.0002211583724875432
