video_id,filename,caption_length_words,score
7b7c8eb6f4098fde7256557e7c37e48c,3kf1gQNnb-8-Scene-142.mp4,125,0.117814
48a861cb8c36c99e96171526a44b31fc,3EO0YIxkle8-Scene-019.mp4,113,0.186603
e597728a8b422a1b531002be327b0f00,3P1vSUbet40-Scene-0197.mp4,112,0.182644
5d4553b980a0cb9e3aeae8377cfa645b,3_ZfZs-JPIg-Scene-245.mp4,93,0.234619
ef66fe3f3e0a9a4751d46b58d9451dfd,3E6ctN22V7k-Scene-055.mp4,125,0.157331
ea38f3fcf9f550d0ad944c591197924f,3a0FD1177FA-Scene-074.mp4,119,0.170114
df22a106c0fe9ec211d7e50c467371fb,3q3CZaZLMiY-Scene-148.mp4,113,0.239171
181888fdae41bd9b8e6b784dd8b841dc,3q3CZaZLMiY-Scene-759.mp4,119,0.148636
d2d7187133d67e56b5e66b59ba3364d9,3iUTkJy84EY-Scene-149.mp4,103,0.214194
db2e3cd6042b22f5a48af1b7e335f79f,3P1vSUbet40-Scene-0586.mp4,97,0.187770
3ad86e0a16ae01a48b047a63d49200f6,3rHRnfTOnJQ-Scene-003.mp4,119,0.120394
b8cb73401b1871f01c398b7b3181dfdb,3_ZfZs-JPIg-Scene-160.mp4,130,0.317028
f7c89848773a81e475320a5093055f3e,3_ldSlCUBFY-Scene-153.mp4,127,0.125772
559690eb2a4f2d510941b3be04e7c4be,3fKU7ugHcIQ-Scene-049.mp4,125,0.258427
38deb489ab0bee30aefc355b58ff3246,3JYDT8lap5U-Scene-034.mp4,129,0.328273
a15c2a5a7abb7d9bcd59192e2ccb4cb2,3q3CZaZLMiY-Scene-180.mp4,96,0.252662
83a80e2195613d14aeb22ba5f3638101,3gZZFVx-9-M-Scene-190.mp4,108,0.093782
5e4a17cfdd09eae7eeb2628edaf2eaf9,3JYDT8lap5U-Scene-042.mp4,139,0.197448
dc92c632f610253be97ee4ae9485081e,3Z229_lKLpk-Scene-096.mp4,112,0.098296
ebe579d1dd4eab42ee02bc3cd4df8fc6,3EB6XN8KrzI-Scene-270.mp4,126,0.312624
c0f53417321b24ef7e2f0005fdc1e907,3ITw3DpGM5k-Scene-044.mp4,179,0.134131
4c206200e02971460661b0f4380a8951,3mdAeLvlUxw-Scene-015.mp4,112,0.189012
ea7a4fc12fabfedd02c979868c537db7,3PUcfHvbCqA-Scene-016.mp4,117,0.184120
715fffc80fe00a93abda2c04d2d86fcb,3_ZfZs-JPIg-Scene-021.mp4,110,0.280263
122e274465977fa6ff79ea9c444c6241,3N5aKGuJpFU-Scene-032.mp4,160,0.184099
4fa9cd324e188d716019d3ec0739e1c8,3PUcfHvbCqA-Scene-009.mp4,119,0.325558
0a57d76ef80c2fca7f6af1b7b0c6f7d2,3q3CZaZLMiY-Scene-473.mp4,122,0.212960
6e0761af555f2fec07143f1dfe923092,3kf1gQNnb-8-Scene-147.mp4,98,0.184036
8a7f1bf303158fb34097cf1af6b11294,3Sq594WkayE-Scene-014.mp4,89,0.134724
5d8c822ca1c75817ef08fd26905d56c1,3QD9oO6sRns-Scene-008.mp4,116,0.155646
161031797907db1d732f5596b7c3971c,3gZZFVx-9-M-Scene-419.mp4,116,0.183489
498b1a9cecdd9ecc8ede31add56f16da,3Wcw7UNaLks-Scene-031.mp4,127,0.141459
c4b4617668eb8c4f06f64e580f6f7764,3F2rz23IKUk-Scene-012.mp4,107,0.226898
f48fe95950c926f60731e40eaa02733c,3hcAJKLX-Ps-Scene-015.mp4,99,0.227913
6de4490352ae7d77da676f1751aa4f05,3gZZFVx-9-M-Scene-323.mp4,105,0.087621
49e5be236cdd10a92d2a6d3c2bea9b13,3qr2hGZ_rRg-Scene-114.mp4,110,0.170677
e133ef93d2f297b69f70f9691c24a29b,3P1vSUbet40-Scene-0551.mp4,110,0.211088
adbc47c6d59e28643918f4264ce9495a,3T1bQ-ZAp1E-Scene-019.mp4,109,0.145185
88f32de485ff47345fa0c394c8175c26,3P1vSUbet40-Scene-0676.mp4,106,0.180840
ddd57d097d382e077562b305af3c60ef,3P5zYKAFzh4-Scene-026.mp4,113,0.087526
9ff5a70833ec2738259bbd7d1752649d,3fPjWUG7DxI-Scene-083.mp4,115,0.186999
31a90b37065cee6ea577267bed0beb9c,3ZrWCBdh7q8-Scene-056.mp4,133,0.117446
5c905e7be5516f352495e67e1b056fcc,3Z229_lKLpk-Scene-063.mp4,104,0.285040
561d55455ff46a7b8390794fd46da236,3rHRnfTOnJQ-Scene-008.mp4,112,0.144903
fdeb02398e31ab9679a145133c6a8263,3iUTkJy84EY-Scene-234.mp4,129,0.153222
c24e9db7a68aebefa2937381891d4de5,3_ZfZs-JPIg-Scene-362.mp4,109,0.209301
ba8add6b36a10ba7894a3c7f2b69bac8,3d5Bf4VRhHE-Scene-026.mp4,150,0.111640
5bcc4379f0824517cd519b28964fa09f,3T1bQ-ZAp1E-Scene-059.mp4,133,0.176245
fe9f3d0e663987119f871981a16d5aaa,3L_uHTClWfk-Scene-006.mp4,100,0.207285
ca3106f66a60079c523f8f17f394aea5,3F2rz23IKUk-Scene-067.mp4,125,0.172783
94f8cf3302ccbe475848529056f7eca5,3gZZFVx-9-M-Scene-439.mp4,96,0.234523
c9e49a761d6439583dea8d6fdd688f3c,3d5Bf4VRhHE-Scene-102.mp4,98,0.189080
89f881e14cb64e5a8ace1641597f08b9,3_ZfZs-JPIg-Scene-053.mp4,108,0.289802
7d6cc684084284c929918490da4a44d2,3iUTkJy84EY-Scene-096.mp4,122,0.220606
4c002d0e0ed981a0c362564b3b61ba2b,3fLu8Czn1pY-Scene-002.mp4,135,0.155883
301b5311e45a7eeb40fa88b965a7b8e2,3mdAeLvlUxw-Scene-126.mp4,108,0.213148
b161bea5e1f39b6182c625b6da2869a8,3mmDnftP1M8-Scene-027.mp4,135,0.244815
ab7419c1b5e3fdfe9cac63fa112f364a,3P1vSUbet40-Scene-0579.mp4,124,0.195392
1fbf08b6b0ba2175c39881886b04b0c9,3_ZfZs-JPIg-Scene-138.mp4,149,0.152934
0f4594ae4de4e413a8bffd709b255bb3,3ITw3DpGM5k-Scene-033.mp4,115,0.295769
268c316508c596da06c6dc7a09025c32,3q3CZaZLMiY-Scene-289.mp4,131,0.163575
351af4fdcd44295989381565940d5181,3P1vSUbet40-Scene-0044.mp4,129,0.246477
d865a65bd235ff99e09dd2089e544ce8,3IrHmvnGXTc-Scene-003.mp4,105,0.180228
37ba2c7813077030eb7e27188e53ad08,3mdAeLvlUxw-Scene-143.mp4,128,0.089768
e93a451cb38ea2d3fd18e83458c1362b,3phuyH7Y05U-Scene-009.mp4,94,0.312011
929b9ffbf431b897edcc7903f12df780,3Z229_lKLpk-Scene-013.mp4,129,0.156619
cdc01874ade3bd8969bc01ef79589e3b,3P1vSUbet40-Scene-0904.mp4,138,0.191768
15208067010d69688030c3c7f9beee95,3QD9oO6sRns-Scene-108.mp4,121,0.224028
85a2d177fff44b96818fb62c220d2d4c,3qr2hGZ_rRg-Scene-136.mp4,133,0.216171
848027e6c16e05bb58225794e48d9fee,3q3CZaZLMiY-Scene-373.mp4,124,0.331267
cd8cfc42c4e71e9d130e18573d89b7ad,3qr2hGZ_rRg-Scene-174.mp4,109,0.199458
a2f88bb13bdb25765e9451e6b3800fcc,3iUTkJy84EY-Scene-299.mp4,137,0.162401
b75f1cd4cd58e37288aa4cc6bed1c130,3fokLGPK15Q-Scene-112.mp4,95,0.228358
57b3fb9ce6b029e59ad6f76895ed3195,3IrHmvnGXTc-Scene-005.mp4,132,0.086885
bfa3ded334ccb54f42e1beca8efab640,3qr2hGZ_rRg-Scene-153.mp4,111,0.200080
0354edb2fedf735b7a01bdf736224699,3pLMflJEGQ4-Scene-002.mp4,95,0.326778
e90eaef840870dfdb9e188c23c2ff77d,3iUTkJy84EY-Scene-053.mp4,131,0.207699
f5b0014dab64d8e387f9d557578135eb,3ITw3DpGM5k-Scene-172.mp4,106,0.142963
27ed4250b07d76022847da04f719e66e,3QD9oO6sRns-Scene-027.mp4,120,0.160334
e992b8b28e2925bcdca86eb1e2478194,3kf1gQNnb-8-Scene-092.mp4,119,0.344956
b9ba00350d10d7501c807d84fa77c6ff,3P1vSUbet40-Scene-0777.mp4,118,0.147671
ffec2995e147a82a4e22867eed271090,3P1vSUbet40-Scene-0945.mp4,116,0.212371
5d3f179afcd83eee461929e3a3e7748d,3jFz5IiuGk8-Scene-051.mp4,118,0.117224
