video_id,caption_length_words,score
2369f8559501fa7ab242695420d280d6,136,0.235679
3e9c329c0cd5ade8c120b0c3c0842228,131,0.315352
3fd5562b4d4f65c681cb082e8d391cf0,115,0.304704
ea6c58c226431b349a42daf12e658c1c,135,0.385680
525738ec6e7dd53bd1a15da979bd2b2c,128,0.295083
83787b0596bff3ebfaa0b9762a34186f,123,0.359240
d226d2a336bb118ca53494fb0273937b,133,0.300752
69ebe295563d1628aa8259ef087ba3bf,136,0.283143
64a76b35354b95fe6c1c3954348adc1e,139,0.273417
9a749baa16621b8bde9cf1bffd00511d,134,0.350325
c637e9f4612d3b30191118e2a71a8cea,135,0.310751
b8cb73401b1871f01c398b7b3181dfdb,117,0.313113
d938ac6338468dffea101f5e308dac49,134,0.277916
fea3eb4c5866b81a2465fdbee40afe45,159,0.288959
df7a842f42ecb8b5462d4214103cd79d,140,0.352604
3c0c0a49edd1073100c5c0713e3360cb,137,0.289266
7babd0fbdd24ba36e1833c212a1518e2,136,0.311052
70609fa493db24096f87199f623f4ef7,129,0.288844
20908c6f0fe21e8fb31843ffbdcf1a16,137,0.310915
a819498d2a2ced4d6e96ca454f88dced,142,0.250095
0a4af55db2e66cceac58f122b7992064,133,0.298281
736584ceb6aca5bd3ca990a8ba5ef039,140,0.304459
6e009ab549bcabcf5c52b530999f93fc,139,0.261650
0302577fc916547f5eaf9237d41a67c5,140,0.281304
2450684d1648bbfe5f61ae71123b0be8,135,0.266923
1dddc88b5633867c3f38bdbb3846e9b5,134,0.279683
72bde3c006b2f83d53cc535b2a9ac3df,149,0.305289
22b17b9ff3e69b70f8d5c92a05b4135f,128,0.299797
0f42422ef532d1d68284f23596f1fa19,140,0.405484
a41534c1c3b7866a340434c42c1a5737,148,0.289561
2444ea51ba12c9eb14f0b7f9f9b0a47f,150,0.334736
fd0b8e1c820eaf4a63707f8ed162971c,136,0.309000
77426fb8b4e0af40a65d6007900374b4,121,0.319478
898fff5ba2cfd5b534ae771322edeb62,144,0.300343
eef6f6e023debd517f5b05b8ca03ab15,141,0.301576
6ae827f36e9c8db41913d5d673b3d468,127,0.347540
