categories,language,url
['Entertainment'],en,https://www.youtube.com/watch?v=KDW9x3wE-BM
['Education'],en,https://www.youtube.com/watch?v=JeqVM4Nb3hA
['News & Politics'],en,https://www.youtube.com/watch?v=xCK2VrslEMs
['News & Politics'],Unknown,https://www.youtube.com/watch?v=wP14qfKweqY
['Science & Technology'],en,https://www.youtube.com/watch?v=Is0bhodVt3A
['Science & Technology'],en,https://www.youtube.com/watch?v=JOmCbxgc7uI
['Science & Technology'],en,https://www.youtube.com/watch?v=IQ5Kq7uVPk8
['Science & Technology'],en,https://www.youtube.com/watch?v=Io1V4bBkrlM
['Sports'],en,https://www.youtube.com/watch?v=HG8p-r4LCIw
['Gaming'],en,https://www.youtube.com/watch?v=w9Zx31jKeH4
['Education'],hi,https://www.youtube.com/watch?v=JPTBHMR0bOo
['Science & Technology'],en,https://www.youtube.com/watch?v=HozF_sfeuX4
['Entertainment'],en,https://www.youtube.com/watch?v=wX8fSQ7ITKw
['Education'],en,https://www.youtube.com/watch?v=JHzpG6J72o8
['People & Blogs'],en,https://www.youtube.com/watch?v=HaU0TNMmu2k
['Education'],de,https://www.youtube.com/watch?v=yFxzBQOwCDY
['Education'],en,https://www.youtube.com/watch?v=I18JnLDZw0U
['Science & Technology'],en,https://www.youtube.com/watch?v=xElT8gbfJFk
['Education'],en,https://www.youtube.com/watch?v=HfG7Kvb6zcw
['Education'],en,https://www.youtube.com/watch?v=Ka1zMEWaTNQ
['Science & Technology'],en,https://www.youtube.com/watch?v=JiuoxCOXIbA
['News & Politics'],en,https://www.youtube.com/watch?v=HzSfNpuzJYk
['Education'],en,https://www.youtube.com/watch?v=zB3ZfTen-jo
['Travel & Events'],Unknown,https://www.youtube.com/watch?v=IeAkT6xqF1M
['Education'],es,https://www.youtube.com/watch?v=JY76OqXwQk0
['News & Politics'],hi,https://www.youtube.com/watch?v=wA7W4_vcq1U
['Entertainment'],en,https://www.youtube.com/watch?v=w0SmsxswCSs
['Education'],en,https://www.youtube.com/watch?v=wjMqX28qbuU
['Music'],Unknown,https://www.youtube.com/watch?v=IdGVPRcHo_E
['Science & Technology'],Unknown,https://www.youtube.com/watch?v=wguJdUkxOAs
['Entertainment'],en,https://www.youtube.com/watch?v=J4o6UesBWkY
['Entertainment'],en,https://www.youtube.com/watch?v=vyIh8-kQL5A
['Science & Technology'],en,https://www.youtube.com/watch?v=yLgXjtD0lKI
['News & Politics'],en,https://www.youtube.com/watch?v=H8mSQzhView
['Science & Technology'],en,https://www.youtube.com/watch?v=vs4QuvCEVcM
['Education'],Unknown,https://www.youtube.com/watch?v=IYPTylC3TNg
['Science & Technology'],en,https://www.youtube.com/watch?v=wShnRyp9aPs
['People & Blogs'],en,https://www.youtube.com/watch?v=JpuzXExW5CE
['Education'],en,https://www.youtube.com/watch?v=yeyJySWy7mg
['Nonprofits & Activism'],en,https://www.youtube.com/watch?v=Hgbh56SWWS8
['People & Blogs'],en,https://www.youtube.com/watch?v=yyPo8G1-CbM
['Entertainment'],en,https://www.youtube.com/watch?v=HfCJaxmhZrk
['News & Politics'],en,https://www.youtube.com/watch?v=xaPiiFfW9Ko
['Science & Technology'],en,https://www.youtube.com/watch?v=xNhtlx8e0iQ
['Film & Animation'],en,https://www.youtube.com/watch?v=z7alzJx6Pxw
['Education'],en,https://www.youtube.com/watch?v=yrW5PcLunuk
['Howto & Style'],Unknown,https://www.youtube.com/watch?v=J6yp8iiwd4c
['News & Politics'],en,https://www.youtube.com/watch?v=HeJLyrDGgzU
['Sports'],en,https://www.youtube.com/watch?v=IrqdJJjgRlY
['Howto & Style'],en,https://www.youtube.com/watch?v=wjsTh2F_i_o
['Education'],hi,https://www.youtube.com/watch?v=tfZW2zShnTI
['Education'],Unknown,https://www.youtube.com/watch?v=xFlzfQ1LAfI
['News & Politics'],en,https://www.youtube.com/watch?v=L3kE1dFLqC4
['Education'],Unknown,https://www.youtube.com/watch?v=M1NLyCRaBNE
['Entertainment'],en,https://www.youtube.com/watch?v=L7sJQQMTtWI
['Entertainment'],Unknown,https://www.youtube.com/watch?v=z0UNFViioFI
['News & Politics'],hi,https://www.youtube.com/watch?v=JzYdpZijgDg
['Education'],en,https://www.youtube.com/watch?v=LLQrMs7g4oo
['Education'],en,https://www.youtube.com/watch?v=MHcGdQeYCMg
['Education'],en,https://www.youtube.com/watch?v=tPt90GxYj4w
['Science & Technology'],en,https://www.youtube.com/watch?v=tAk0jfkQDsM
['News & Politics'],en,https://www.youtube.com/watch?v=uA-jZ-aXinY
['News & Politics'],Unknown,https://www.youtube.com/watch?v=MpiYEQCQoSs
['Howto & Style'],en,https://www.youtube.com/watch?v=uFkma9b2CFk
['Entertainment'],en,https://www.youtube.com/watch?v=LEgv-dtCI5U
['Education'],en,https://www.youtube.com/watch?v=LEN-CvKeZZA
['News & Politics'],Unknown,https://www.youtube.com/watch?v=MjHVic5Lc5g
['Howto & Style'],en,https://www.youtube.com/watch?v=uzkniXnqP08
['Science & Technology'],en,https://www.youtube.com/watch?v=sWV8JlaVPOY
